Name,Category,Company,Date,Device,My Role,Project Duration,Tools & Methodologies,Working Team
Weave CLI (2024): The text-based user interface that allow users to spin-up new Intervowen Rollups,Developer Tools,Initia Labs,"October 1, 2024",Desktop,UX/UI Designer,2 months,"Figma, Information Architecture, Interactive Prototypes, User Flow Diagram, User Journey Map","2x UX/UI Designer (Me)
2x Back-End Developers
1x Product Manager"
Celatone (2022-2024) :: Smart Contract Developer and Block Explorer,Developer Tools,Alles Labs,"August 1, 2022","Desktop, Mobile",UX/UI Designer,"1st Release: 4 months
Upgrade and Maintain: 2 years","Acceptance Testing, Contextual Inquiry, Hi-Fidelity Design, Information Architecture, Interactive Prototypes, Usability Testing, User Flow Diagram, User Interview, User Journey Map, User Stories, Wireframes","2x UX/UI Designer (Me)
3x Front-End Developers
2x Back-End Developers
1x Product Manager"
Ladder (2019) :: Social Media Analytics platform based on language model,Data Analytics Platform,Backyard,"March 1, 2019",Desktop,UX/UI Designer,2 years & 11 months,"Activity-Centered Design, Contextual Inquiry, Heuristic Evaluation, Information Architecture, Interactive Prototypes, Sketch, Usability Testing, User Interview, Wireframes","1x UX/UI Designer (Me)
1x Product Owner
3x Back-End Developers
1x Front-End Developer
1x Data Scientist
4x Data Analysts (Users)"
Initia MultiSig (2024) :: Cryptocurrency wallet that requires two or more signatures to confirm,Multiple Signature Contract,Initia Labs,"October 1, 2024","Desktop, Mobile",UX/UI Designer,2 months,"Acceptance Testing, Guerrilla Test, Hi-Fidelity Design, Information Architecture, Interactive Prototypes, User Flow Diagram, User Interview, User Journey Map, User Stories","2x UX/UI Designer (Me)
2x Front-End Developers
1x Back-End Developers
1x Product Manager"
Alpha Homora V2 (2021) :: Usability Revamp for DeFi Leverage Liquidity Providing Protocol,DeFi,,"September 1, 2021",Desktop,UX/UI Designer,1 month,"Figma, Guerrilla Test, Hi-Fidelity Design, Information Architecture, Interactive Prototypes, Usability Testing, User Flow Diagram, User Interview, User Journey Map",Only Me
Vertical Protocol (2022) :: On-chain Leverage Margin Trading Tools,DeFi,Alles Labs,"September 1, 2022","Desktop, Mobile",UX/UI Designer,"Design to Implement: 2 months
(Project is transferred)",,"2x UX/UI Designer (Me)
1x UX Intern
3x Front-End Developers
3x Smart Contract Developers
1x Engineering Manager
1x Product Manager"
InitiaScan (2023-2024) :: Developer Tools and Block Explorer for Initia Network,Developer Tools,Alles Labs / Initia Labs,"July 1, 2024","Desktop, Mobile",UX/UI Designer,"First Release: 2 months
Upgrade and Maintain: 2 years","Acceptance Testing, Figma, Guerrilla Test, Hi-Fidelity Design, Information Architecture, Interactive Prototypes, Usability Testing, User Flow Diagram, User Interview, User Journey Map, User Stories, Wireframes","2x UX/UI Designer (Me)
3x Front-End Developers
2x Back-End Developers
1x Product Manager"
Nebula Protocol (2022) :: Decentralize Index Assets with Rebalance Mechanics,DeFi,Alles Labs,"March 1, 2022","Desktop, Mobile",UX/UI Designer,"Design & Development: 3 months
** Project is not released due to Terra’s LUNA and UST mechanic failure.","Figma, Guerrilla Test, Hi-Fidelity Design, Information Architecture, Interactive Prototypes","1x UX/UI Designer (Me)
1x Front-End Developer
3x Smart Contract Developer
1x Product Manager"
Rent Payment on RentSpree (2021) :: Payment Collection and Payment for Landlord and Tenants,Payment Management,RentSpree,"March 1, 2021","Desktop, Mobile",Product Design,3 months,"Acceptance Testing, Figma, Interactive Prototypes, Usability Testing, User Stories","2x Product Designer (Me)
4x Full-Stacked Developer
1x Product Manager
1x Engineering Manager"
Markr (2020): Usability Revamp for Data Annotation Tool,Data Annotation Tool,Backyard,"December 1, 2020",Desktop,UX Design,2 Months,"Activity-Centered Design, Usability Testing, Wireframes","1x UX Designer (Me)
1x Product Owner (acting)
2x Front-End Developers
1x Back-End Developer
1x Data Scientist
1x User Tester
1x Visual Designer"